Age, Male Annual Mortality , Female Annual Mortality , Couple Annual Mortality ,Male Median Life Expectancy, Female Median Life Expectancy ,Couples Life Expectancy, Men Alive ,Women Alive, Couples at Least One Alive ,P(A Alive),P(B Alive),P(A Dead),P(B Alive), P(At least one Alive) ,,,,,,,,,,,,, Milevsky ,,,,,
39,0.00195,0.00119,0.99939,39.3,43.27,0.99916,"96,077","97,865","99,916",0.96,0.98,0.04,0.02,0.9992,,,,,,,,,,,,,,,,,,
40,0.00208,0.00128,0.99931,38.37,42.32,0.99907,"95,889","97,749","99,907",0.96,0.98,0.04,0.02,0.9991,,,,,,,,,,,,,,,,,,
41,0.00224,0.00139,0.99921,37.45,41.38,0.99898,"95,689","97,624","99,898",0.96,0.98,0.04,0.02,0.999,,,,,,,,,,,,,,,,,,
42,0.00244,0.00152,0.99909,36.53,40.43,0.99886,"95,475","97,488","99,886",0.95,0.97,0.05,0.03,0.9989,,,,,,,,,,,,,,,,,,
43,0.00269,0.00168,0.99896,35.62,39.5,0.99873,"95,242","97,340","99,873",0.95,0.97,0.05,0.03,0.9987,,,,,,,,,,,,,,,,,,
44,0.00298,0.00186,0.9988,34.72,38.56,0.99858,"94,986","97,177","99,858",0.95,0.97,0.05,0.03,0.9986,,,,,,,,,,,,,,,,,,
45,0.0033,0.00206,0.99862,33.82,37.63,0.99841,"94,704","96,997","99,841",0.95,0.97,0.05,0.03,0.9984,,,,,,,,,,,,,,,,,,
46,0.00364,0.00226,0.9984,32.93,36.71,0.9982,"94,392","96,797","99,820",0.94,0.97,0.06,0.03,0.9982,,,,,,,,,,,,,,,,,,
47,0.004,0.00248,0.99815,32.05,35.79,0.99796,"94,048","96,578","99,796",0.94,0.97,0.06,0.03,0.998,,,,,,,,,,,,,,,,,,
48,0.00437,0.00271,0.99786,31.17,34.88,0.99768,"93,672","96,339","99,768",0.94,0.96,0.06,0.04,0.9977,,,,,,,,,,,,,,,,,,
49,0.00475,0.00295,0.99752,30.31,33.97,0.99736,"93,263","96,078","99,736",0.93,0.96,0.07,0.04,0.9974,,,,,,,,,,,,,,,,,,
50,0.00516,0.00321,0.99713,29.45,33.07,0.99698,"92,820","95,795","99,698",0.93,0.96,0.07,0.04,0.997,,,,,,,,,,,,,,,,,,
51,0.0056,0.00348,0.99669,28.6,32.18,0.99654,"92,342","95,487","99,654",0.92,0.95,0.08,0.05,0.9965,,,,,,,,,,,,,,,,,,
52,0.00608,0.00375,0.99617,27.76,31.29,0.99604,"91,825","95,155","99,604",0.92,0.95,0.08,0.05,0.996,,,,,,,,,,,,,,,,,,
53,0.00661,0.004,0.99558,26.93,30.4,0.99546,"91,267","94,798","99,546",0.91,0.95,0.09,0.05,0.9955,,,,,,,,,,,,,,,,,,
54,0.00717,0.00425,0.9949,26.1,29.52,0.99479,"90,664","94,418","99,479",0.91,0.94,0.09,0.06,0.9948,,,,,,,,,,,,,,,,,,
55,0.00781,0.00452,0.99412,25.29,28.65,0.99402,"90,013","94,017","99,402",0.9,0.94,0.1,0.06,0.994,,,,,,,,,,,,,,,,,,
56,0.00846,0.00484,0.99322,24.48,27.77,0.99315,"89,311","93,593","99,315",0.89,0.94,0.11,0.06,0.9932,,,,,,,,,,,,,,,,,,
57,0.0091,0.00519,0.99219,23.69,26.91,0.99215,"88,555","93,140","99,215",0.89,0.93,0.11,0.07,0.9921,,,,,,,,,,,,,,,,,,
58,0.00968,0.00557,0.991,22.9,26.04,0.991,"87,750","92,657","99,100",0.88,0.93,0.12,0.07,0.991,,,,,,,,,,,,,,,,,,
59,0.01025,0.006,0.98961,22.12,25.19,0.98971,"86,901","92,141","98,971",0.87,0.92,0.13,0.08,0.9897,,,,,,,,,,,,,,,,,,
60,0.01087,0.00649,0.98798,21.34,24.34,0.98823,"86,010","91,588","98,823",0.86,0.92,0.14,0.08,0.9882,,,,,,,,,,,,,,,,,,
61,0.01159,0.00705,0.98609,20.57,23.49,0.98656,"85,076","90,994","98,656",0.85,0.91,0.15,0.09,0.9866,,,,,,,,,,,,,,,,,,
62,0.01244,0.00769,0.98387,19.81,22.65,0.98465,"84,090","90,352","98,465",0.84,0.9,0.16,0.1,0.9847,,,,,,,,,,,,Age,17.5,,,,,
