60,0.01087,"86,010",21.34,0.00649,"91,588",24.34,0.00147,,,,, 10.35755 ,,,,, 1.0000 ,,
61,0.01159,"85,076",20.57,0.00705,"90,994",23.49,0.00167,,,,,,,,,,,,
62,0.01244,"84,090",19.81,0.00769,"90,352",22.65,0.00191,,,,," 1,286 ",,,,,,,
63,0.01345,"83,043",19.05,0.00842,"89,658",21.83,0.00219,,,,," 1,285 ",,,,,,,
64,0.01461,"81,926",18.3,0.00925,"88,903",21.01,0.00252,,,,,,,, cum prob ,,,80729,
65,0.01593,"80,729",17.57,0.0102,"88,081",20.2,0.00291,,0.015917452,,, 0.98539 , 0.98539 , 0.0146 , 0.01461 ,, 0.0015 , 124 ,"1,285"
66,0.01737,"79,444",16.84,0.01126,"87,182",19.4,0.00338,,,,, 0.98408 , 1.96947 , 0.0159 , 0.03053 ,, 0.0017 , 124 ,
67,0.0189,"78,064",16.13,0.01237,"86,201",18.62,0.00392,,,,, 0.98263 , 2.95210 , 0.0174 , 0.04790 ,, 0.0018 ,,
68,0.02048,"76,589",15.43,0.01354,"85,135",17.84,0.00453,,,,, 0.98111 , 3.93321 , 0.0189 , 0.06679 ,, 0.0020 ,,
69,0.02219,"75,020",14.75,0.01479,"83,982",17.08,0.00521,,,,, 0.97951 , 4.91272 , 0.0205 , 0.08728 ,, 0.0021 ,,
70,0.02414,"73,355",14.07,0.01623,"82,740",16.33,0.00598,,,,, 0.97781 , 5.89053 , 0.0222 , 0.10947 ,, 0.0023 ,,
71,0.02636,"71,584",13.4,0.01788,"81,397",15.59,0.00687,,,,, 0.97586 , 6.86638 , 0.0241 , 0.13362 ,, 0.0025 ,,
72,0.02881,"69,697",12.75,0.01969,"79,941",14.87,0.00792,,,,, 0.97364 , 7.84002 , 0.0264 , 0.15998 ,, 0.0028 ,,
73,0.03148,"67,689",12.12,0.02167,"78,367",14.16,0.00911,,,,, 0.97119 , 8.81121 , 0.0288 , 0.18879 ,, 0.0030 ,,
74,0.03444,"65,558",11.49,0.02387,"76,669",13.46,0.01046,,,,, 0.96852 , 9.77973 , 0.0315 , 0.22027 ,, 0.0033 ,,
75,0.03786,"63,300",10.89,0.02644,"74,839",12.77,0.01198,,,,, 0.96556 , 10.74529 , 0.0344 , 0.25471 ,, 0.0037 ,,
76,0.04173,"60,904",10.3,0.02937,"72,860",12.11,0.01377,,,,, 0.96215 , 11.70744 , 0.0379 , 0.29256 ,, 0.0040 ,,
77,0.04593,"58,363",9.72,0.03252,"70,721",11.46,0.0158,,,,, 0.95828 , 12.66571 , 0.0417 , 0.33429 ,, 0.0044 ,,
